timestamp,rr_interval
42.536,19.28
42.786,4.7
43.036,-18.28
43.286,-41.26
43.536,-42.09
43.786,-33.6
44.036,-25.11
44.286,-36.76
44.536,-56.55
44.786,-76.34
45.036,-52.53
45.286,-25.74
45.536,1.05
45.786,16.87
46.036,30.46
46.286,44.05
46.536,34.72
46.786,6.46
47.036,-21.79
47.286,-27.45
47.536,-17.78
47.786,-8.11
48.036,-9.53
48.286,-20.87
48.536,-32.2
48.786,-35.44
49.036,-33.11
49.286,-30.78
49.536,-32.7
49.786,-37.13
50.036,-41.57
50.286,-43.75
50.536,-45.02
50.786,-46.29
51.036,-23.91
51.286,3.8
51.536,31.51
51.786,45.72
52.036,49.14
52.286,52.56
52.536,52.02
52.786,39.5
53.036,26.98
53.286,15.65
53.536,15.08
53.786,14.52
54.036,13.96
54.286,10.25
54.536,6.42
54.786,2.59
55.036,-13.35
55.286,-31.2
55.536,-49.05
55.786,-65.05
56.036,-81.0
56.286,-89.4
56.536,-76.31
56.786,-63.23
57.036,-54.24
57.286,-51.51
57.536,-48.77
57.786,-48.94
58.036,-52.0
58.286,-55.06
58.536,-40.75
58.786,-16.5
59.036,7.75
59.286,26.43
59.536,38.78
59.786,51.14
60.036,61.11
60.286,55.37
60.536,49.64
60.786,43.91
61.036,48.34
61.286,54.26
61.536,60.19
61.786,66.74
62.036,73.85
62.286,80.96
62.536,87.58
62.786,89.4
63.036,91.21
63.286,93.03
63.536,85.85
63.786,73.32
64.036,60.8
64.286,53.3
64.536,55.9
64.786,58.5
65.036,61.1
65.286,62.49
65.536,63.89
65.786,65.28
66.036,67.0
66.286,68.89
66.536,70.78
66.786,70.47
67.036,64.02
67.286,57.57
67.536,51.12
67.786,73.86
68.036,97.45
68.286,121.03
68.536,133.03
68.786,121.75
69.036,110.46
69.286,99.17
69.536,97.93
69.786,98.43
70.036,98.94
70.286,91.76
70.536,71.16
70.786,50.55
71.036,32.68
71.286,31.04
71.536,29.39
71.786,27.75
72.036,39.56
72.286,52.23
72.536,64.9
72.786,67.62
73.036,62.78
73.286,57.94
73.536,54.72
73.786,56.22
74.036,57.72
74.286,59.22
74.536,56.53
74.786,53.52
75.036,50.51
75.286,32.21
75.536,5.17
75.786,-21.88
76.036,-13.97
76.286,11.31
76.536,36.59
76.786,44.45
77.036,21.88
77.286,-0.7
77.536,-12.26
77.786,-2.05
78.036,8.15
78.286,18.41
78.536,28.92
78.786,39.44
79.036,49.95
79.286,35.39
79.536,17.28
79.786,-0.84
80.036,-8.91
80.286,-14.47
80.536,-20.03
80.786,-18.75
81.036,-15.63
81.286,-12.51
81.536,4.75
81.786,26.88
82.036,49.01
82.286,61.54
82.536,59.69
82.786,57.84
83.036,56.63
83.286,62.8
83.536,68.96
83.786,75.13
84.036,60.09
84.286,34.88
84.536,9.68
84.786,10.84
85.036,30.79
85.286,50.74
85.536,65.91
85.786,64.17
86.036,62.42
86.286,60.67
86.536,42.07
86.786,21.27
87.036,0.46
87.286,-6.01
87.536,-8.9
87.786,-11.78
88.036,-0.85
88.286,14.54
88.536,29.93
88.786,36.78
89.036,35.38
89.286,33.97
89.536,26.16
89.786,1.89
90.036,-22.37
90.286,-31.23
90.536,-9.66
90.786,11.92
91.036,33.03
91.286,50.39
91.536,67.75
91.786,85.11
92.036,88.42
92.286,84.23
92.536,80.04
92.786,70.42
93.036,43.97
93.286,17.52
93.536,-4.72
93.786,-5.54
94.036,-6.35
94.286,-6.07
94.536,4.56
94.786,15.19
95.036,25.82
95.286,9.34
95.536,-10.56
95.786,-30.45
96.036,-27.44
96.286,-22.31
96.536,-17.19
96.786,-11.65
97.036,-6.06
97.286,-0.47
97.536,-20.03
97.786,-46.68
98.036,-73.33
98.286,-51.15
98.536,-27.77
98.786,-4.39
99.036,-2.63
99.286,-3.71
99.536,-4.79
99.786,-13.09
100.036,-23.15
100.286,-33.21
100.536,-25.38
100.786,-14.13
101.036,-2.89
101.286,-6.79
101.536,-16.01
101.786,-25.23
102.036,-25.55
102.286,-22.88
102.536,-20.2
102.786,-29.75
103.036,-43.86
103.286,-57.97
103.536,-38.61
103.786,-13.99
104.036,10.64
104.286,17.19
104.536,15.55
104.786,13.91
105.036,-5.25
105.286,-39.59
105.536,-73.93
105.786,-71.04
106.036,-56.4
106.286,-41.77
106.536,-49.63
106.786,-62.7
107.036,-75.56
107.286,-71.32
107.536,-67.08
107.786,-63.38
108.036,-62.44
108.286,-61.51
108.536,-58.54
108.786,-50.93
109.036,-43.31
109.286,-44.29
109.536,-60.83
109.786,-77.37
110.036,-72.78
110.286,-53.39
110.536,-33.99
110.786,-11.63
111.036,12.81
111.286,33.04
111.536,48.26
111.786,60.08
112.036,69.76
112.286,73.74
112.536,73.28
112.786,68.27
113.036,60.1
113.286,44.13
113.536,28.16
113.786,11.66
114.036,-8.49
114.286,-28.63
114.536,-44.44
114.786,-42.93
115.036,-41.41
115.286,-40.55
115.536,-41.58
115.786,-42.61
116.036,-37.88
116.286,-21.16
116.536,-4.43
116.786,9.11
117.036,8.16
117.286,7.2
117.536,5.72
117.786,-5.22
118.036,-16.16
118.286,-25.94
118.536,-12.79
118.786,0.35
119.036,13.49
119.286,9.29
119.536,2.81
119.786,-3.66
120.036,-3.96
120.286,-2.67
120.536,-1.38
120.786,1.45
121.036,4.98
121.286,8.51
121.536,12.4
121.786,16.59
122.036,20.78
122.286,19.22
122.536,6.69
122.786,-5.83
123.036,-15.82
123.286,-19.65
123.536,-23.48
123.786,-22.01
124.036,-7.68
124.286,6.64
124.536,19.93
124.786,24.37
125.036,28.82
125.286,33.26
125.536,14.2
125.786,-8.69
126.036,-31.58
126.286,-34.21
126.536,-34.28
126.786,-34.35
127.036,-27.54
127.286,-20.09
127.536,-12.65
127.786,-4.03
128.036,4.79
128.286,13.62
128.536,17.2
128.786,18.27
129.036,14.24
129.286,6.33
129.536,-3.61
129.786,-18.05
130.036,-35.02
130.286,-54.48
130.536,-73.95
130.786,-95.49
131.036,-119.09
131.286,-142.69
131.536,-166.65
131.786,-191.19
132.036,-215.72
132.286,-239.3
132.536,-261.61
132.786,-283.92
133.036,-304.61
133.286,-322.99
133.536,-338.33
133.786,-345.53
134.036,-343.3
134.286,-325.94
134.536,-301.84
134.786,-279.64
135.036,-266.55
135.286,-268.98
135.536,-266.67
135.786,-248.52
136.036,-191.38
136.286,-123.75
136.536,-56.11
136.786,-8.21
137.036,-12.11
137.286,-16.0
137.536,-17.28
137.786,-10.31
138.036,-3.33
138.286,1.56
138.536,-9.46
138.786,-20.48
139.036,-31.95
139.286,-46.64
139.536,-61.33
139.786,-62.82
140.036,-32.91
140.286,-3.01
140.536,21.73
140.786,-7.04
141.036,-35.81
141.286,-56.52
141.536,-46.51
141.786,-36.5
142.036,-31.15
142.286,-43.57
142.536,-55.98
142.786,-57.57
143.036,-38.88
143.286,-20.19
143.536,-6.08
143.786,-5.01
144.036,-3.93
144.286,-3.71
144.536,-8.08
144.786,-12.45
145.036,-14.61
145.286,1.55
145.536,17.72
145.786,33.88
146.036,-1.79
146.286,-46.75
146.536,-86.67
146.786,-71.72
147.036,-56.77
147.286,-43.29
147.536,-38.56
147.786,-33.83
148.036,-31.18
148.286,-40.95
148.536,-50.72
148.786,-61.82
149.036,-76.75
149.286,-91.67
149.536,-88.56
149.786,-70.1
150.036,-51.63
150.286,-35.23
150.536,-20.2
150.786,-5.17
151.036,-10.69
151.286,-39.19
151.536,-67.7
151.786,-64.16
152.036,-44.41
152.286,-24.66
152.536,-8.49
152.786,5.39
153.036,19.27
153.286,28.5
153.536,30.28
153.786,32.05
154.036,33.51
154.286,32.89
154.536,32.28
154.786,31.66
155.036,26.51
155.286,20.79
155.536,15.07
